id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,year
5EFXgEnibXPumWosZtJqkx,I Can't Believe That You're In Love With Me,6,183800,0,['Louis Armstrong'],['19eLuQmk9aCobbVDHc6eek'],1923,0.579,0.204,0,-12.634,1,0.0804,0.928,0.00459,0.0901,0.75,154.333,4,1923
5EMxMmB4iSzA8jMNgLcTtO,Song Of The Vipers,5,171533,0,['Louis Armstrong'],['19eLuQmk9aCobbVDHc6eek'],1923,0.553,0.255,10,-8.575,1,0.0874,0.975,0.804,0.531,0.638,181.769,4,1923
5eXOIVUkW17FqnEoLR2wTX,Stardust,5,213667,0,['Louis Armstrong'],['19eLuQmk9aCobbVDHc6eek'],1923,0.614,0.298,3,-11.004,0,0.0541,0.97,0.646,0.0514,0.772,122.319,4,1923
6azxqS9u7eO5DslqJCWMNd,Knockin' A Jug - 78 rpm Version,6,193760,0,['Louis Armstrong'],['19eLuQmk9aCobbVDHc6eek'],1923,0.788,0.395,10,-14.032,1,0.301,0.882,0.844,0.124,0.676,113.336,4,1923
7H5X09Fl9MN0FhICH4TSF6,Listen To Ma,5,198467,0,"['Hociel Thomas', 'Louis Armstrong']",['0bygS9pra5BkFbVaKwHVqw' '19eLuQmk9aCobbVDHc6eek'],1923,0.536,0.128,2,-13.093,1,0.0435,0.988,0.0,0.314,0.564,91.937,4,1923
0QfWOoNZibrxHpzdKWEHBZ,When It's Sleepy Time Down South,4,200200,0,['Louis Armstrong'],['19eLuQmk9aCobbVDHc6eek'],1923,0.527,0.178,3,-14.814,1,0.0793,0.989,9.85e-06,0.104,0.37,105.093,4,1923
0YIo0uq3o867nFkE9I9hf2,Pleadin' for the Blues,4,178707,0,"['Bertha ""Chippie"" Hill', 'Louis Armstrong']",['1sPDyROEgOvKQlReOg874E' '19eLuQmk9aCobbVDHc6eek'],1923,0.661,0.134,2,-12.61,1,0.0763,0.996,0.0011,0.119,0.575,71.497,4,1923
2ohtXE5y4GhN0Zxvalubes,On The Sunny Side Of The Street - Part 2,4,185973,0,['Louis Armstrong'],['19eLuQmk9aCobbVDHc6eek'],1923,0.559,0.266,0,-9.804,1,0.0512,0.989,0.847,0.448,0.576,101.279,4,1923
3jic1HtQwJwaKnBL4ykuwZ,My Sweet,4,195960,0,['Louis Armstrong'],['19eLuQmk9aCobbVDHc6eek'],1923,0.741,0.284,3,-10.406,1,0.0505,0.927,0.0788,0.0633,0.816,105.84,4,1923
0mvVIlqmAJnk4S1zWz8Pye,(What Did I Do to Be So) Black and Blue,1,187400,0,['Louis Armstrong'],['19eLuQmk9aCobbVDHc6eek'],1924,0.657,0.176,11,-12.539,1,0.0573,0.992,0.0264,0.273,0.482,99.311,4,1924
